Epi : 1, Steps : 30/30, Reward : 7
Epi : 2, Steps : 41/71, Reward : 18
Epi : 3, Steps : 51/122, Reward : 28
Epi : 4, Steps : 63/185, Reward : 40
Epi : 5, Steps : 19/204, Reward : -1
Epi : 6, Steps : 19/223, Reward : -1
Epi : 7, Steps : 51/274, Reward : 28
Epi : 8, Steps : 19/293, Reward : -1
Epi : 9, Steps : 35/328, Reward : 12
Epi : 10, Steps : 53/381, Reward : 30
Epi : 11, Steps : 30/411, Reward : 7
Epi : 12, Steps : 23/434, Reward : 0
Epi : 13, Steps : 19/453, Reward : -1
Epi : 14, Steps : 30/483, Reward : 7
Epi : 15, Steps : 41/524, Reward : 18
Epi : 16, Steps : 19/543, Reward : -1
Epi : 17, Steps : 41/584, Reward : 18
Epi : 18, Steps : 35/619, Reward : 12
Epi : 19, Steps : 30/649, Reward : 7
Epi : 20, Steps : 49/698, Reward : 26
Epi : 21, Steps : 41/739, Reward : 18
Epi : 22, Steps : 28/767, Reward : 5
Epi : 23, Steps : 49/816, Reward : 26
Epi : 24, Steps : 19/835, Reward : -1
Epi : 25, Steps : 19/854, Reward : -1
Epi : 26, Steps : 19/873, Reward : -1
Epi : 27, Steps : 30/903, Reward : 7
Epi : 28, Steps : 35/938, Reward : 12
Epi : 29, Steps : 26/964, Reward : 3
Epi : 30, Steps : 19/983, Reward : -1
Epi : 31, Steps : 30/1013, Reward : 7
Epi : 32, Steps : 93/1106, Reward : 70
Epi : 33, Steps : 41/1147, Reward : 18
Epi : 34, Steps : 49/1196, Reward : 26
Epi : 35, Steps : 41/1237, Reward : 18
Epi : 36, Steps : 19/1256, Reward : -1
Epi : 37, Steps : 71/1327, Reward : 48
Epi : 38, Steps : 41/1368, Reward : 18
Epi : 39, Steps : 19/1387, Reward : -1
Epi : 40, Steps : 28/1415, Reward : 5
Epi : 41, Steps : 30/1445, Reward : 7
Epi : 42, Steps : 42/1487, Reward : 19
Epi : 43, Steps : 30/1517, Reward : 7
Epi : 44, Steps : 41/1558, Reward : 18
Epi : 45, Steps : 30/1588, Reward : 7
Epi : 46, Steps : 58/1646, Reward : 35
Epi : 47, Steps : 26/1672, Reward : 3
Epi : 48, Steps : 19/1691, Reward : -1
Epi : 49, Steps : 19/1710, Reward : -1
Epi : 50, Steps : 42/1752, Reward : 19
Epi : 51, Steps : 49/1801, Reward : 26
Epi : 52, Steps : 19/1820, Reward : -1
Epi : 53, Steps : 19/1839, Reward : -1
Epi : 54, Steps : 58/1897, Reward : 35
Epi : 55, Steps : 30/1927, Reward : 7
Epi : 56, Steps : 46/1973, Reward : 23
Epi : 57, Steps : 26/1999, Reward : 3
Epi : 58, Steps : 23/2022, Reward : 0
Epi : 59, Steps : 19/2041, Reward : -1
Epi : 60, Steps : 30/2071, Reward : 7
Epi : 61, Steps : 41/2112, Reward : 18
Epi : 62, Steps : 30/2142, Reward : 7
Epi : 63, Steps : 46/2188, Reward : 23
Epi : 64, Steps : 30/2218, Reward : 7
Epi : 65, Steps : 19/2237, Reward : -1
Epi : 66, Steps : 51/2288, Reward : 28
Epi : 67, Steps : 41/2329, Reward : 18
Epi : 68, Steps : 19/2348, Reward : -1
Epi : 69, Steps : 19/2367, Reward : -1
Epi : 70, Steps : 35/2402, Reward : 12
Epi : 71, Steps : 19/2421, Reward : -1
Epi : 72, Steps : 73/2494, Reward : 50
Epi : 73, Steps : 46/2540, Reward : 23
Epi : 74, Steps : 30/2570, Reward : 7
Epi : 75, Steps : 30/2600, Reward : 7
Epi : 76, Steps : 30/2630, Reward : 7
Epi : 77, Steps : 35/2665, Reward : 12
Epi : 78, Steps : 30/2695, Reward : 7
Epi : 79, Steps : 42/2737, Reward : 19
Epi : 80, Steps : 19/2756, Reward : -1
Epi : 81, Steps : 19/2775, Reward : -1
Epi : 82, Steps : 19/2794, Reward : -1
Epi : 83, Steps : 19/2813, Reward : -1
Epi : 84, Steps : 19/2832, Reward : -1
Epi : 85, Steps : 19/2851, Reward : -1
Epi : 86, Steps : 85/2936, Reward : 62
Epi : 87, Steps : 19/2955, Reward : -1
Epi : 88, Steps : 19/2974, Reward : -1
Epi : 89, Steps : 19/2993, Reward : -1
Epi : 90, Steps : 19/3012, Reward : -1
Epi : 91, Steps : 19/3031, Reward : -1
Epi : 92, Steps : 19/3050, Reward : -1
Epi : 93, Steps : 41/3091, Reward : 18
Epi : 94, Steps : 19/3110, Reward : -1
Epi : 95, Steps : 46/3156, Reward : 23
Epi : 96, Steps : 30/3186, Reward : 7
Epi : 97, Steps : 19/3205, Reward : -1
Epi : 98, Steps : 46/3251, Reward : 23
Epi : 99, Steps : 19/3270, Reward : -1
Epi : 100, Steps : 19/3289, Reward : -1
Epi : 101, Steps : 30/3319, Reward : 7
Epi : 102, Steps : 68/3387, Reward : 45
Epi : 103, Steps : 63/3450, Reward : 40
Epi : 104, Steps : 30/3480, Reward : 7
Epi : 105, Steps : 42/3522, Reward : 19
Epi : 106, Steps : 19/3541, Reward : -1
Epi : 107, Steps : 30/3571, Reward : 7
Epi : 108, Steps : 19/3590, Reward : -1
Epi : 109, Steps : 41/3631, Reward : 18
Epi : 110, Steps : 26/3657, Reward : 3
Epi : 111, Steps : 19/3676, Reward : -1
Epi : 112, Steps : 19/3695, Reward : -1
Epi : 113, Steps : 19/3714, Reward : -1
Epi : 114, Steps : 19/3733, Reward : -1
Epi : 115, Steps : 19/3752, Reward : -1
Epi : 116, Steps : 35/3787, Reward : 12
Epi : 117, Steps : 41/3828, Reward : 18
Epi : 118, Steps : 49/3877, Reward : 26
Epi : 119, Steps : 30/3907, Reward : 7
Epi : 120, Steps : 30/3937, Reward : 7
Epi : 121, Steps : 30/3967, Reward : 7
Epi : 122, Steps : 30/3997, Reward : 7
Epi : 123, Steps : 19/4016, Reward : -1
Epi : 124, Steps : 19/4035, Reward : -1
Epi : 125, Steps : 156/4191, Reward : 133
Epi : 126, Steps : 35/4226, Reward : 12
Epi : 127, Steps : 63/4289, Reward : 40
Epi : 128, Steps : 19/4308, Reward : -1
Epi : 129, Steps : 30/4338, Reward : 7
Epi : 130, Steps : 19/4357, Reward : -1
Epi : 131, Steps : 63/4420, Reward : 40
Epi : 132, Steps : 30/4450, Reward : 7
Epi : 133, Steps : 19/4469, Reward : -1
Epi : 134, Steps : 19/4488, Reward : -1
Epi : 135, Steps : 64/4552, Reward : 41
Epi : 136, Steps : 26/4578, Reward : 3
Epi : 137, Steps : 51/4629, Reward : 28
Epi : 138, Steps : 19/4648, Reward : -1
Epi : 139, Steps : 19/4667, Reward : -1
Epi : 140, Steps : 19/4686, Reward : -1
Epi : 141, Steps : 30/4716, Reward : 7
Epi : 142, Steps : 30/4746, Reward : 7
Epi : 143, Steps : 93/4839, Reward : 70
Epi : 144, Steps : 46/4885, Reward : 23
Epi : 145, Steps : 23/4908, Reward : 0
Epi : 146, Steps : 49/4957, Reward : 26
Epi : 147, Steps : 30/4987, Reward : 7
Epi : 148, Steps : 19/5006, Reward : -1
Epi : 149, Steps : 18/5024, Reward : -1
Epi : 150, Steps : 19/5043, Reward : -1
Epi : 151, Steps : 30/5073, Reward : 7
Epi : 152, Steps : 19/5092, Reward : -1
Epi : 153, Steps : 35/5127, Reward : 12
Epi : 154, Steps : 63/5190, Reward : 40
Epi : 155, Steps : 35/5225, Reward : 12
Epi : 156, Steps : 19/5244, Reward : -1
Epi : 157, Steps : 30/5274, Reward : 7
Epi : 158, Steps : 19/5293, Reward : -1
Epi : 159, Steps : 19/5312, Reward : -1
Epi : 160, Steps : 19/5331, Reward : -1
Epi : 161, Steps : 35/5366, Reward : 12
Epi : 162, Steps : 19/5385, Reward : -1
Epi : 163, Steps : 26/5411, Reward : 3
Epi : 164, Steps : 19/5430, Reward : -1
Epi : 165, Steps : 35/5465, Reward : 12
Epi : 166, Steps : 51/5516, Reward : 28
Epi : 167, Steps : 85/5601, Reward : 62
Epi : 168, Steps : 19/5620, Reward : -1
Epi : 169, Steps : 117/5737, Reward : 94
Epi : 170, Steps : 26/5763, Reward : 3
Epi : 171, Steps : 41/5804, Reward : 18
Epi : 172, Steps : 19/5823, Reward : -1
Epi : 173, Steps : 19/5842, Reward : -1
Epi : 174, Steps : 42/5884, Reward : 19
Epi : 175, Steps : 63/5947, Reward : 40
Epi : 176, Steps : 30/5977, Reward : 7
Epi : 177, Steps : 30/6007, Reward : 7
Epi : 178, Steps : 19/6026, Reward : -1
Epi : 179, Steps : 90/6116, Reward : 67
Epi : 180, Steps : 18/6134, Reward : -1
Epi : 181, Steps : 19/6153, Reward : -1
Epi : 182, Steps : 19/6172, Reward : -1
Epi : 183, Steps : 19/6191, Reward : -1
Epi : 184, Steps : 19/6210, Reward : -1
Epi : 185, Steps : 19/6229, Reward : -1
Epi : 186, Steps : 42/6271, Reward : 19
Epi : 187, Steps : 30/6301, Reward : 7
Epi : 188, Steps : 41/6342, Reward : 18
Epi : 189, Steps : 19/6361, Reward : -1
Epi : 190, Steps : 35/6396, Reward : 12
Epi : 191, Steps : 46/6442, Reward : 23
Epi : 192, Steps : 18/6460, Reward : -1
Epi : 193, Steps : 19/6479, Reward : -1
Epi : 194, Steps : 19/6498, Reward : -1
Epi : 195, Steps : 42/6540, Reward : 19
Epi : 196, Steps : 23/6563, Reward : 0
Epi : 197, Steps : 42/6605, Reward : 19
Epi : 198, Steps : 19/6624, Reward : -1
Epi : 199, Steps : 19/6643, Reward : -1
Epi : 200, Steps : 86/6729, Reward : 63
Epi : 201, Steps : 19/6748, Reward : -1
Epi : 202, Steps : 19/6767, Reward : -1
Epi : 203, Steps : 30/6797, Reward : 7
Epi : 204, Steps : 41/6838, Reward : 18
Epi : 205, Steps : 19/6857, Reward : -1
Epi : 206, Steps : 30/6887, Reward : 7
Epi : 207, Steps : 19/6906, Reward : -1
Epi : 208, Steps : 19/6925, Reward : -1
Epi : 209, Steps : 35/6960, Reward : 12
Epi : 210, Steps : 30/6990, Reward : 7
Epi : 211, Steps : 86/7076, Reward : 63
Epi : 212, Steps : 63/7139, Reward : 40
Epi : 213, Steps : 23/7162, Reward : 0
Epi : 214, Steps : 35/7197, Reward : 12
Epi : 215, Steps : 30/7227, Reward : 7
Epi : 216, Steps : 35/7262, Reward : 12
Epi : 217, Steps : 30/7292, Reward : 7
Epi : 218, Steps : 30/7322, Reward : 7
Epi : 219, Steps : 26/7348, Reward : 3
Epi : 220, Steps : 63/7411, Reward : 40
Epi : 221, Steps : 51/7462, Reward : 28
Epi : 222, Steps : 19/7481, Reward : -1
Epi : 223, Steps : 30/7511, Reward : 7
Epi : 224, Steps : 19/7530, Reward : -1
Epi : 225, Steps : 18/7548, Reward : -1
Epi : 226, Steps : 35/7583, Reward : 12
Epi : 227, Steps : 71/7654, Reward : 48
Epi : 228, Steps : 35/7689, Reward : 12
Epi : 229, Steps : 19/7708, Reward : -1
Epi : 230, Steps : 30/7738, Reward : 7
Epi : 231, Steps : 19/7757, Reward : -1
Epi : 232, Steps : 108/7865, Reward : 85
